name,district,price,bedroom,wc,acreage,link
"Bán Nhà 4 Tầng HXH Phạm Văn Chiêu - Gần Emart Phan Huy Ích -53m -6,3ty","Quận Gò Vấp, TPHCM",6 tỷ 399 triệu,6 PN,5 WC,71 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/ban-nha-4-tang-hxh-pham-van-chieu-gan-emart-phan-huy-ich-53m-6-3ty-id22454818
"🌈🌈Nhà 5 Tầng - Thiết kế đẹp🔥🔥  📍HOÀNG VĂN THỤ, P4, TÂN BÌNH  🏠","Quận Tân Bình, TPHCM",2 tỷ 190 triệu,4 PN,4 WC,53 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/nha-5-tang-thiet-ke-dep-hoang-van-thu-p4-tan-binh-id22527255
"Bán nhanh 1/ Phường 9, Gò Vấp, Hẻm xe hơi, 4x16m, vuông đẹp chỉ  5.6 t","Quận Gò Vấp, TPHCM",5 tỷ 600 triệu,4 PN,4 WC,59 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/ban-nhanh-1-phuong-9-go-vap-hem-xe-hoi-4x16m-vuong-dep-chi-5-6-t-id22527655
Ngộp! Bán gấp nhà 2 tầng 60m2 - Hẻm ôtô - Trần Văn Kỷ P.14 - Nhỉnh 6tỷ,"Quận Bình Thạnh, TPHCM",6 tỷ 990 triệu,2 PN,2 WC,62 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ngop-ban-gap-nha-2-tang-60m2-hem-oto-tran-van-ky-p-14-nhinh-6ty-id22503730
"Bán nhà góc 2 MT Cao Thắng, Điện Biên Phủ, P4, Q3, 5,1x17 hậu 5,2, 90","Quận 3, TPHCM",49 tỷ,3 PN,2 WC,60 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-goc-2-mt-cao-thang-dien-bien-phu-p4-q3-5-1x17-hau-5-2-90-id22168996
"Hẻm xe hơi 5M thông, 48m2, Lê Quang Định, 20M là mặt tiền, Chỉ 6.7 tỷ","Quận Bình Thạnh, TPHCM",6 tỷ 700 triệu,6 PN,6 WC,90 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/hem-xe-hoi-5m-thong-48m2-le-quang-dinh-20m-la-mat-tien-chi-6-7-ty-id22434357
"Góc 2 MT Đặng Văn Ngữ, Quận Phú Nhuận 8x11 trệt 2 lầu giá 21 tỷ","Quận Phú Nhuận, TPHCM",21 tỷ,3 PN,2 WC,48 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/goc-2-mt-dang-van-ngu-quan-phu-nhuan-8x11-tret-2-lau-gia-21-ty-id22509714
"Nhà 4 tầng, 72m2, hẻm xe hơi, sát mặt tiền Nguyễn Xí, P.26","Quận Bình Thạnh, TPHCM",9 tỷ 790 triệu,4 PN,4 WC,90 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/nha-4-tang-72m2-hem-xe-hoi-sat-mat-tien-nguyen-xi-p-26-id22516747
"Bán MTKD 3/2 Quận 10, 115m2 6 tầng 4.7x25 giữ tiền, giá 45 tỷ TL gấp","Quận 10, TPHCM",45 tỷ,4 PN,5 WC,72 m2,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-mtkd-3-2-quan-10-115m2-6-tang-4-7x25-giu-tien-gia-45-ty-tl-gap-id21527747
Thêm 1 căn quận 1 hơn 4ty có nhà 2 lầu hẻm xe tải  Nguyễn Cảnh Chân Q1,"Quận 1, TPHCM",2 tỷ 650 triệu,6 PN,5 WC,115 m2,https://mogi.vn/quan-1/mua-nha-hem-ngo/them-1-can-quan-1-hon-4ty-co-nha-2-lau-hem-xe-tai-nguyen-canh-chan-q1-id22525532
Hẻm 8m Xe Tải Thông- GÒ DẦU- 71m2(4x18)- 4Lầu- 6PN- Đối Diện Công Viên,"Quận Tân Phú, TPHCM",8 tỷ 600 triệu,3 PN,2 WC,22 m2,https://mogi.vn/quan-tan-phu/mua-nha-hem-ngo/hem-8m-xe-tai-thong-go-dau-71m2-4x18-4lau-6pn-doi-dien-cong-vien-id22388852
🌟Chủ định cư USA🌟 hạ 1 TỶ 🔥🔥  🏠 nhà LÊ VĂN SỸ - QUẬN 3 📒100M2 -,"Quận 3, TPHCM",2 tỷ 145 triệu,2 PN,2 WC,55 m2,https://mogi.vn/quan-3/mua-nha-hem-ngo/chu-dinh-cu-usa-ha-1-ty-nha-le-van-sy-quan-3-100m2-id22527251
Quá ngộp! Bán gấp nhà 2 tầng 110m2 - Ngang 5m nở hậu- Gần ĐH Văn Lang,"Quận Bình Thạnh, TPHCM",8 tỷ 900 triệu,5 PN,4 WC,100 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/qua-ngop-ban-gap-nha-2-tang-110m2-ngang-5m-no-hau-gan-dh-van-lang-id22496919
"Chia gia tài bán gấp nhà MT Lê Thị Riêng, Q1 DT 12.33x23m, HĐT 185tr/t","Quận 1, TPHCM",91 tỷ,3 PN,2 WC,110 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/chia-gia-tai-ban-gap-nha-mt-le-thi-rieng-q1-dt-12-33x23m-hdt-185tr-t-id22165063
"Khu vip đường D Ung Văn Khiêm, Ngang lớn 7M, 3 tầng, Xe hơi, 5.99 tỷ","Quận Bình Thạnh, TPHCM",5 tỷ 990 triệu,5 PN,4 WC,247 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/khu-vip-duong-d-ung-van-khiem-ngang-lon-7m-3-tang-xe-hoi-5-99-ty-id22434341
